"Date","no_vacc","sc3_70","sc3_50","sc3_30"
2015-02-01,4.93947336467711,4.93947336467711,4.93947336467711,4.93947336467711
2015-02-02,5.47776524582368,5.47776524582368,5.47776524582368,5.47776524582368
2015-02-03,6.07470075749074,6.07470075749074,6.07470075749074,6.07470075749074
2015-02-04,6.73669195847449,6.73669195847449,6.73669195847449,6.73669195847449
2015-02-05,7.47084337535608,7.47084337535608,7.47084337535608,7.47084337535608
2015-02-06,8.28497219529176,8.28497219529176,8.28497219529176,8.28497219529176
2015-02-07,9.18778942199888,9.18778942199888,9.18778942199888,9.18778942199888
2015-02-08,10.1889907913102,10.1889907913102,10.1889907913102,10.1889907913102
2015-02-09,11.2992877700245,11.2992877700245,11.2992877700245,11.2992877700245
2015-02-10,12.5305534217242,12.5305534217242,12.5305534217242,12.5305534217242
2015-02-11,14.3726043815096,14.3480680414127,14.3550739527552,14.3620835943819
2015-02-12,16.4854038865727,16.3731488361471,16.4051435212932,16.4372014997049
2015-02-13,18.9087338277316,18.6203509331675,18.7022943675087,18.7845974960532
2015-02-14,21.6882148549452,21.1038413257565,21.2691795931895,21.4358126194553
2015-02-15,24.8761713284094,23.8371496116705,24.1295033056388,24.4254440288497
2015-02-16,28.5326058347958,26.8328913763973,27.3079193774406,27.7913565383321
2015-02-17,32.7263191884532,30.1024673343924,30.8299004971409,31.5749100285796
2015-02-18,37.5362080301074,33.6557507802237,34.721591763108,35.8211858441809
2015-02-19,43.0527488029377,37.5007684986449,39.0096317264435,40.5792025151779
2015-02-20,49.3796684096331,41.6433689818337,43.7209373103479,45.90214561598
2015-02-21,56.6358890340771,46.086891784938,48.8824647547551,51.8475975159405
2015-02-22,64.9577661191622,50.8318518425777,54.5209470670657,58.4777495981274
2015-02-23,74.5016094198731,55.8756349447394,60.6625933141599,65.8596057565573
2015-02-24,85.4465689087266,61.212214271587,67.3327564020189,74.065189608044
2015-02-25,90.9521001056323,63.0689728223762,70.0235997720564,77.7449809493018
2015-02-26,96.8117311439867,64.836993070017,72.7057017125769,81.5291824437617
2015-02-27,103.048145407308,66.5059119792017,75.3700957421009,85.4154800124176
2015-02-28,109.685479760116,68.0657712794377,78.0075773364555,89.401155537915
2015-03-01,116.749390115144,69.5071147294108,80.6087535172932,93.4830758504741
2015-03-02,124.267174352152,70.8210866289501,83.1640989542529,97.6576886452782
2015-03-03,132.267845269895,71.9995189612149,85.6640103253484,101.921015446855
2015-03-04,140.782266814608,73.0350206607791,88.0988689678782,106.268650302123
2015-03-05,149.843239103993,73.9210501153557,90.4590979628424,110.695757245869
2015-03-06,159.485646671123,74.651989185676,92.7352293174914,115.197072383786
2015-03-07,169.746559930555,75.2231978389066,94.9179618782839,119.766905932405
2015-03-08,180.66539341253,75.6310674907534,96.998230308387,124.399148299652
2015-03-09,192.284028917459,75.873055537702,98.967262138039,129.087276685127
2015-03-10,204.646981114403,75.947714077468,100.816645340542,133.824365615863
2015-03-11,217.801548280705,75.8547028307903,102.538382928024,138.603098096801
2015-03-12,231.797982334664,75.5947914236262,104.124955846931,143.415780812659
2015-03-13,246.689673269889,75.1698498100617,105.56937346995,148.254359863527
2015-03-14,262.533320916417,74.5828246297419,106.865228847965,153.110440561953
2015-03-15,279.389158666644,73.8377070076406,108.006743270531,157.975307814259
2015-03-16,297.321125112871,72.9394855763737,108.98881153886,162.839950184915
2015-03-17,316.397127224741,71.8940925174626,109.807038631637,167.695084966458
2015-03-18,294.383054122738,66.4917739551489,101.730268269331,155.627052980061
2015-03-19,273.900013117818,61.495222577647,94.2473257645076,144.42712291985
2015-03-20,254.842094587145,56.8741498913539,87.3148101699894,134.03320404035
2015-03-21,237.110968667803,52.6006206228423,80.8926163036404,124.387811889602
2015-03-22,220.614116437915,48.648447053224,74.9431093825605,115.436946434589
2015-03-23,205.264829916647,44.9931890181488,69.4311250230852,107.130092061235
2015-03-24,190.979478095739,41.6112483768707,64.3227233449425,99.4185079050526
2015-03-25,177.684757575992,38.4823221548065,59.5885433973525,92.2598029333743
2015-03-26,165.315878333257,35.5887853318461,55.2029606508807,85.6167886939518
2015-03-27,153.810808126474,32.9137618600006,51.1414421235108,79.4538622010607
2015-03-28,143.110272497673,30.4411246634031,47.3805463806445,73.7370059355004
2015-03-29,133.157754771971,28.155495638308,43.8979235351017,68.4337878445943
2015-03-30,123.899496057574,26.0422456530916,40.6723152471205,63.5133613421891
2015-03-31,115.284495245779,24.0874945482513,37.6835547243573,58.9464653086555
2015-04-01,107.26464805602,22.2781661201147,34.9126388552302,54.7055182555674
2015-04-02,99.7988069516824,20.6034732811728,32.3437161337536,50.7672703831061
2015-04-03,92.851425508806,19.054291557806,29.963294561586,47.111812413509
2015-04-04,86.3883471819186,17.6218027404309,27.7583608056152,43.7199740033884
2015-04-05,80.3768881681105,16.2975681924635,25.7164630546364,40.5734127077854
2015-04-06,74.7858374070348,15.0735288503188,23.8257110193517,37.6546139801707
2015-04-07,69.5854565809069,13.9420052234111,22.0747759323703,34.946891172444
2015-04-08,64.747480114505,12.8956973941539,20.4528905482085,32.4343855349343
2015-04-09,60.2451151751698,11.9276850179599,18.9498491432895,30.1020662163997
2015-04-10,56.0534140152905,11.031562894995,17.5561894412642,27.9359733620256
2015-04-11,52.1517505207683,10.2022736454655,16.2643337431589,25.9247774191045
2015-04-12,48.521385399671,9.43523707267734,15.0674152087137,24.0582028419822
2015-04-13,45.1443151375984,8.72604174924536,13.9588259638345,22.3263690106691
2015-04-14,42.0033226769987,8.07046862094215,12.9322470043319,20.7198276187552
2015-04-15,39.0819774171692,7.46449100669833,11.9816481959212,19.2295626734105
2015-04-16,36.3646352142554,6.90427459860252,11.1012882742226,17.8469904953844
2015-04-17,33.8364383812519,6.3861774619013,10.2857148447609,16.5639597190067
2015-04-18,31.4833156880018,5.90675003499926,9.52976438296564,15.3727512921864
2015-04-19,29.2925180091169,5.46291663230877,8.82881071819692,14.2664173609785
2015-04-20,27.2535672244606,5.05225875530252,8.179166514012,13.2393487608855
2015-04-21,25.3565585287763,4.67247340143297,7.57732976123451,12.2862298732698
2015-04-22,23.5920042093367,4.32135396649286,7.01994559706962,11.4019688990887
2015-04-23,21.9508365189298,3.99679134842281,6.50380776988907,10.5816997885876
2015-04-24,20.4244076758586,3.69677394731133,6.02585863923114,9.82078224129988
2015-04-25,19.0044898639411,3.41938766539482,5.58318917580071,9.11480170604694
2015-04-26,17.6832752325106,3.16281590705756,5.17303896146922,8.45956938093818
2015-04-27,16.4533844979332,2.92534252392783,4.79280021730197,7.85112769331505
2015-04-28,15.3084141233806,2.70552434562705,4.44025880370102,7.28608577311505
2015-04-29,14.2429190488038,2.50216737791124,4.11356774864038,6.76159262224527
2015-04-30,13.2516759668472,2.31411859307163,3.81094755044465,6.2749067998757
2015-05-01,12.3296858281888,2.14027438365107,3.53069516407451,5.82340475100372
2015-05-02,11.4721738415409,1.97958056244409,3.27118400112669,5.40458080645417
2015-05-03,10.6745894736491,1.83103236249683,3.030863929834,5.0160471828793
2015-05-04,9.93260644929315,1.69367443710708,2.80826127506531,4.65553398275881
2015-05-05,9.2421227512865,1.56660085982428,2.60197881832555,4.32088919439983
2015-05-06,8.59929735761539,1.44896664819007,2.41071193883659,4.01010120061602
2015-05-07,8.00092537272773,1.34009680828316,2.23340442938574,3.72152074665997
2015-05-08,7.44414299380185,1.2393933767441,2.06911844732578,3.45367981380571
2015-05-09,6.9261969631588,1.14627941910981,1.91695025767572,3.20516526831006
2015-05-10,6.44445377454338,1.06020305145375,1.77603546180409,2.97462553741123
2015-05-11,5.9963996731241,0.980637440385883,1.6455489974289,2.76077060932883
2015-05-12,5.5796406554932,0.907080803052675,1.52470513861769,2.56237203326387
2015-05-13,5.19190246966666,0.839056407137118,1.41275749578751,2.37826291939876
2015-05-14,4.83103061508418,0.776112570858711,1.30899901570488,2.2073379388973
2015-05-15,4.49505127172236,0.717840403067785,1.21278734833814,2.04858945342151
2015-05-16,4.18234604506374,0.663919849543509,1.12361248020549,1.90120659223155
2015-05-17,3.89140147679594,0.614050081723632,1.0409959711489,1.76442985043751
2015-05-18,3.62076654283985,0.567942456692883,0.964478913611875,1.6375309067468
2015-05-19,3.36905416506891,0.52532102998076,0.893622639003332,1.51981358822043
2015-05-20,3.1349412113091,0.485922555561527,0.828008717697602,1.41061387027309
2015-05-21,2.91716849533893,0.449496485854215,0.767238959034433,1.30929987667307
2015-05-22,2.71454077688945,0.415804971722623,0.710935411318993,1.21527187954234
2015-05-23,2.52592705802252,0.384622950633976,0.658740487426721,1.12796247727843
2015-05-24,2.35033115443607,0.355757320242242,0.610344917398674,1.04687719802311
2015-05-25,2.18691795334691,0.329051543377862,0.565495430261204,0.971607158975953
2015-05-26,2.0348887205893,0.304354791405105,0.523948616283514,0.901760255973234
2015-05-27,1.8934788684726,0.281522673014279,0.48547147926721,0.836961173721441
2015-05-28,1.76195795578126,0.260417234221724,0.449841436546301,0.776851385797285
2015-05-29,1.63962968777481,0.240906958369817,0.416846318987198,0.721089154647695
2015-05-30,1.52583191618787,0.222866766126969,0.386284370988718,0.669349531589822
2015-05-31,1.41993663923016,0.206178015487628,0.357964250482077,0.621324356811036
2015-06-01,1.3213533226515,0.190729400896251,0.331706342870738,0.576724170558019
2015-06-02,1.22958350204927,0.176430661844947,0.307363191296598,0.535308563182608
2015-06-03,1.14418928547146,0.163203657337213,0.284806601518299,0.496867653686414
2015-06-04,1.06474962640188,0.150972902653112,0.263912935656111,0.461199298887488
2015-06-05,0.990861712222568,0.13966617656023,0.244563914085587,0.428110123469221
2015-06-06,0.922140964213752,0.129214521313674,0.226646615437563,0.397415519980348
2015-06-07,0.858221037553879,0.119552242656073,0.210053476598156,0.368939648834943
2015-06-08,0.798753821319605,0.110616909817578,0.194682292708765,0.342515438312421
2015-06-09,0.743409438485792,0.102349355515862,0.180436217166073,0.317984584557537
2015-06-10,0.691889612472174,0.0946967582121449,0.167228465824144,0.295204710987008
2015-06-11,0.643952515854505,0.0876184457706105,0.1549911442889,0.274062754381077
2015-06-12,0.599350851736448,0.0810717369123687,0.143653589279721,0.254441923715164
